,run,type,module,name,attrname,attrvalue,value,gilbertElliotP,gilbertElliotR,arbitrationTime,sampleDeadline,fragmentSize,shapingTime,samplePeriod,sampleSize
8019,General-79-20230116-08:43:48-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.63222796200633,0.18,0.1,78,100ms,11306,1400us,33333us,135672B
8119,General-78-20230116-08:43:33-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.24629228461923,0.18,0.2,78,100ms,11306,1400us,33333us,135672B
8219,General-77-20230116-08:43:17-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.044659223462756,0.18,0.3,78,100ms,11306,1400us,33333us,135672B
8319,General-76-20230116-08:43:03-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.4,78,100ms,11306,1400us,33333us,135672B
8419,General-75-20230116-08:42:48-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.5,78,100ms,11306,1400us,33333us,135672B
8519,General-74-20230116-08:42:36-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.6,78,100ms,11306,1400us,33333us,135672B
8619,General-73-20230116-08:42:21-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.7,78,100ms,11306,1400us,33333us,135672B
8719,General-72-20230116-08:42:06-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.8,78,100ms,11306,1400us,33333us,135672B
8819,General-71-20230116-08:41:53-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.9,78,100ms,11306,1400us,33333us,135672B
8919,General-70-20230116-08:41:41-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,1.0,78,100ms,11306,1400us,33333us,135672B
9019,General-9-20230116-08:24:10-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.7127145475754,0.18,0.1,78,33333us,11306,1400us,33333us,135672B
9119,General-8-20230116-08:23:58-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.50224962506249,0.18,0.2,78,33333us,11306,1400us,33333us,135672B
9219,General-7-20230116-08:23:45-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.38260289951675,0.18,0.3,78,33333us,11306,1400us,33333us,135672B
9319,General-6-20230116-08:23:33-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.20879853357774,0.18,0.4,78,33333us,11306,1400us,33333us,135672B
9419,General-5-20230116-08:23:21-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.067488751874688,0.18,0.5,78,33333us,11306,1400us,33333us,135672B
9519,General-4-20230116-08:23:09-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.019830028328612,0.18,0.6,78,33333us,11306,1400us,33333us,135672B
9619,General-3-20230116-08:22:57-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.0103316113981,0.18,0.7,78,33333us,11306,1400us,33333us,135672B
9719,General-2-20230116-08:22:45-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.0098316947175471,0.18,0.8,78,33333us,11306,1400us,33333us,135672B
9819,General-1-20230116-08:22:34-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00033327778703551,0.18,0.9,78,33333us,11306,1400us,33333us,135672B
9919,General-0-20230116-08:22:23-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,1.0,78,33333us,11306,1400us,33333us,135672B
10019,General-19-20230116-08:26:41-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.66755540743209,0.18,0.1,78,44ms,11306,1400us,33333us,135672B
10119,General-18-20230116-08:26:24-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.38826862189635,0.18,0.2,78,44ms,11306,1400us,33333us,135672B
10219,General-17-20230116-08:26:06-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.23829361773038,0.18,0.3,78,44ms,11306,1400us,33333us,135672B
10319,General-16-20230116-08:25:50-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.073321113147809,0.18,0.4,78,44ms,11306,1400us,33333us,135672B
10419,General-15-20230116-08:25:33-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.0093317780369938,0.18,0.5,78,44ms,11306,1400us,33333us,135672B
10519,General-14-20230116-08:25:18-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00066655557407103,0.18,0.6,78,44ms,11306,1400us,33333us,135672B
10619,General-13-20230116-08:25:03-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.7,78,44ms,11306,1400us,33333us,135672B
10719,General-12-20230116-08:24:47-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.8,78,44ms,11306,1400us,33333us,135672B
